1HGCM82633A004352|2021|HONDA|CIVIC|SEDAN|SILVER|28500|19400
2FMPK4J92MBA12345|2022|FORD|EDGE|SUV|RED|14200|31750
2FMPK4J92MBA12345|2022|FORD|EDGE|SUV|RED|14200|31750
5YJSA1E26FF123456|2019|TESLA|MODEL S|ELECTRIC SEDAN|BLUE|39000|520000
1FTFW1ET5EKE12345|2020|FORD|F-150|PICKUP|WHITE|61000|29500
1HGCM82633A004852|2021|HONDA|CIVIC|SEDAN|SILVER|28501|19400
2FMPK4J92MBA12545|2022|FORD|EDGE|SUV|RED|14220|31750
WBA3A5C56CF123156|2015|BMW|328i|SEDAN|WHITE|67300|13900
5YJSA1E26FF123356|2019|TESLA|MODEL S|ELECTRIC SEDAN|BLUE|39300|520000
1FTFW1ET5EKE10341|2020|FORD|F-150|PICKUP|WHITE|61060|29500
1HGCM82633A004351|2021|HONDA|CIVIC|SEDAN|SILVER|8500|19400
2FMPK4J92MBA12341|2022|FORD|EDGE|SUV|RED|4200|61750
WBA3A5C56CF123451|2015|BMW|328i|SEDAN|WHITE|7300|63900
5YJSA1E26FF123451|2019|TESLA|MODEL S|ELECTRIC SEDAN|BLUE|9000|52000
1FTFW1ET5EKE12341|2020|FORD|F-150|PICKUP|WHITE|1000|69500
1FTFW1ET5EKE12541|2020|FORD|F-150|PICKUP|WHITE|1000|69500
1HGCM82633A004952|1996|HONDA|CIVIC|CAR|BLACK|200369|2563.00
