D & B Used Cars|111 Old Benbrook Rd|817-555-5555
2FMPK4J92MBA12345|2022|FORD|EDGE|SUV|RED|14200|31750.00
2FMPK4J92MBA12345|2022|FORD|EDGE|SUV|RED|14200|31750.00
5YJSA1E26FF123456|2019|TESLA|MODEL S|ELECTRIC SEDAN|BLUE|39000|520000.00
1FTFW1ET5EKE12345|2020|FORD|F-150|PICKUP|WHITE|61000|29500.00
1HGCM82633A004852|2021|HONDA|CIVIC|SEDAN|SILVER|28501|19400.00
2FMPK4J92MBA12545|2022|FORD|EDGE|SUV|RED|14220|31750.00
WBA3A5C56CF123156|2015|BMW|328i|SEDAN|WHITE|67300|13900.00
5YJSA1E26FF123356|2019|TESLA|MODEL S|ELECTRIC SEDAN|BLUE|39300|520000.00
1FTFW1ET5EKE10341|2020|FORD|F-150|PICKUP|WHITE|61060|29500.00
1HGCM82633A004351|2021|HONDA|CIVIC|SEDAN|SILVER|8500|19400.00
2FMPK4J92MBA12341|2022|FORD|EDGE|SUV|RED|4200|61750.00
WBA3A5C56CF123451|2015|BMW|328i|SEDAN|WHITE|7300|63900.00
5YJSA1E26FF123451|2019|TESLA|MODEL S|ELECTRIC SEDAN|BLUE|9000|52000.00
1FTFW1ET5EKE12341|2020|FORD|F-150|PICKUP|WHITE|1000|69500.00
1FTFW1ET5EKE12541|2020|FORD|F-150|PICKUP|WHITE|1000|69500.00
1HGCM82633A004952|1996|HONDA|CIVIC|CAR|BLACK|200369|2563.00
2FMPK4J92MBA12346|1997|TOYOTA|4RUNNER|SUV|RED|456123|890.00
1HGCM82633A004850|2000|FORD|MUSTANG|CAR|BLACK|123456|2055.00
